,text,sentiment,transformed_text
0,Sobe para 41 o número de mortos na Baixada Santista,0,sob 41 numer mort baix sant
1,"Vítimas de Suzano, Brumadinho e da Boate Kiss: a dor do trauma",0,vit suzan brum boat kis dor traum
2,A revolta da mãe de vítima do Ninho do Urubu um ano após o incêndio,0,revolt mae vit ninh urubu ano apo incendi
3,Ninho do Urubu: famílias ainda aguardam indenização,0,ninh urubu famil aind aguard indenizaca
4,Artigo: ‘O que fazer para evitar novas tragédias como a de Brumadinho’,0,artig faz evit nov traged brum
5,O que empregados da Boeing diziam sobre o 737-MAX: ‘Palhaços o projetaram’,0,empreg boeing diz sobr 737 max palhac projet
6,Austrália: um país em chamas,0,austral pal cham
7,O inferno pessoal de Richard Jewell retratado em filme de Clint Eastwood,0,infern pessoal richard jewell retrat film clint eastwood
8,Cabeça d’água atinge cachoeira em Minas Gerais e deixa três mortos,0,cabec d agu ating cacho min geral deix tre mort
9,Quem são as vítimas da queda de elevador em Santos,0,vit qued elev sant
10,"Incêndio, terremoto, inundação, furacão: as tragédias naturais de 2019",0,incendi terremot inundaca furaca traged natur 2019
11,Queda de avião no Cazaquistão deixa 12 mortos e 17 em estado grave,0,qued avia cazaquista deix 12 mort 17 est grav
12,Deslizamento de terra deixa 4 mortos em Campos do Jordão (SP),0,desliz terr deix 4 mort camp jorda sp
13,LUTO: Mais uma vítima do acidente aéreo da Bahia,0,lut vit acid aere bah
14,"‘Voluntários tiveram papel de destaque na limpeza do óleo’, diz almirante",0,"voluntari papel destaqu limp ole ', diz almir"
15,Fla terá que pagar pensão de R$ 10 mil aos familiares das vítimas do Ninho,0,fla pag pensa r 10 famili vit ninh
16,Aeronave bimotor cai na região da Serra da Cantareira em São Paulo,0,aeronav bimo cai regia serr cantar paul
17,A luta dos sobreviventes do voo da Bahia que ainda estão internados,0,lut sobreviv voo bah aind intern
18,"Morre copiloto de avião particular que caiu em Maraú, na Bahia",0,morr copilot avia particul caiu marau bah
19,Heroísmo e dor: os detalhes e consequências da queda do avião na Bahia,0,hero dor detalh consequenc qued avia bah
20,Corpo de Tuka Rocha será velado por religioso anglicano,0,corp tuk roch vel religi anglic
21,Rapaz morto em queda de marquise comemorava aniversário de amigo,0,rapaz mort qued marquis comemor aniversari amig
22,"Bombeiro de Mariana e Brumadinho: ‘Muitas mortes, arrisquei minha vida’",0,bomb mari brum muit mort arrisq vid
23,"Mil dias após tragédia da Chapecoense, sobrevivente ainda luta por justiça",0,dia apo traged chapeco sobreviv aind lut jus
24,Bombeiros confirmam sétima morte em desabamento em Fortaleza,0,bomb confirm set mort desab fortal
25,"“Pai, estou vivo”",0,pai viv
26,Sobe para 5 o número de mortos em desabamento de edifício em Fortaleza,0,sob 5 numer mort desab edifici fortal
27,Prédio de sete andares desaba em Fortaleza,0,predi set and desab fortal
28,Brumadinho: Bombeiros encontram corpo oito meses após tragédia,0,brum bomb encontr corp oit mes apo traged
29,Bombeiros encontram corpo de vítima da tragédia de Brumadinho,0,bomb encontr corp vit traged brum
30,"Vale pagará R$ 11,8 milhões a familiares de vítimas de Brumadinho",0,val pag r 11 8 milho famili vit brum
31,Queda de avião na Colômbia deixa 7 mortos,0,qued avia colomb deix 7 mort
32,CPI de Brumadinho pede indiciamento de ex-presidente e diretores da Vale,0,cpi brum ped indic ex presid dire val
33,Tumulto em peregrinação xiita no Iraque causa 31 mortes,0,tumult peregrinaca xiit iraqu caus 31 mort
34,Depois da tragédia: indenizações da Vale movimentam economia de Brumadinho,0,traged indenizaco val moviment econom brum
35,"Ao fazer ‘piada’ com queda de avião, Felipão atinge seu próprio elenco",0,faz pi qued avia felipa ating propri elenc
36,Chapecoense sofre primeira condenação trabalhista por tragédia na Colômbia,0,chapeco sofr prim condenaca trabalh traged colomb
37,CPI da Vale no Senado pede o indiciamento de 14 pessoas e duas empresas,0,cpi val sen ped indic 14 pesso dua empr
38,"Chuvas torrenciais matam 61 pessoas e 6,7 milhões na China",0,chuv torrenc mat 61 pesso 6 7 milho chin
39,Duas meninas brasileiras morrem em deslizamento de rocha no Chile,0,dua menin morr desliz roch chil
40,Governo de Moçambique estima 160 mil afetados após novo ciclone,0,govern mocambiqu est 160 afet apo nov ciclon
41,A segunda vítima,0,segund vit
42,Encontrada a última vítima fatal da tragédia de Muzema,0,encontr ult vit fatal traged muzem
43,Número de mortos no desabamento na Muzema sobe para 22,0,numer mort desab muzem sob 22
44,Sobreviventes cariocas vão a Paris para receber solidariedade de Bolsonaro,0,sobreviv carioc paril receb solidariedad bolsonar
45,Rio: sobe para quinze o total de mortos em desabamentos na Muzema,0,rio sob quinz total mort desab muzem
46,Corpo é encontrado em escombros de prédios no RJ; total de mortos vai a 10,0,corp encontr escombr predi rj total mort 10
47,Sobe para cinco número de mortos em desabamento de prédios no Rio,0,sob cinc numer mort desab predi rio
48,Witzel lamenta desabamento que deixou ao menos dois mortos no RJ,0,witzel lament desab deix menos doi mort rj
49,Número de mortos por ciclone no sudeste africano chega a 946,0,numer mort ciclon sud afric cheg 946
50,Lucro da Vale cresce 46% e vai a R$ 26 bilhões em 2018,0,lucr val cresc 46 r 26 bilho 2018
