,Unnamed: 0,titulo,portal,sentiment
0,0,Sobe para 41 o número de mortos na Baixada Santista,Veja,neg
1,1,"Vítimas de Suzano, Brumadinho e da Boate Kiss: a dor do trauma",Veja,neg
2,2,A revolta da mãe de vítima do Ninho do Urubu um ano após o incêndio,Veja,neg
3,3,Ninho do Urubu: famílias ainda aguardam indenização,Veja,neg
4,4,Artigo: ‘O que fazer para evitar novas tragédias como a de Brumadinho’,Veja,neg
5,5,O que empregados da Boeing diziam sobre o 737-MAX: ‘Palhaços o projetaram’,Veja,neg
6,6,Austrália: um país em chamas,Veja,neg
7,7,O inferno pessoal de Richard Jewell retratado em filme de Clint Eastwood,Veja,neg
8,8,Cabeça d’água atinge cachoeira em Minas Gerais e deixa três mortos,Veja,neg
9,9,Quem são as vítimas da queda de elevador em Santos,Veja,neg
10,10,"Incêndio, terremoto, inundação, furacão: as tragédias naturais de 2019",Veja,neg
11,11,Queda de avião no Cazaquistão deixa 12 mortos e 17 em estado grave,Veja,neg
12,12,Deslizamento de terra deixa 4 mortos em Campos do Jordão (SP),Veja,neg
13,13,LUTO: Mais uma vítima do acidente aéreo da Bahia,Veja,neg
14,14,"‘Voluntários tiveram papel de destaque na limpeza do óleo’, diz almirante",Veja,neg
15,15,Fla terá que pagar pensão de R$ 10 mil aos familiares das vítimas do Ninho,Veja,neg
16,16,Aeronave bimotor cai na região da Serra da Cantareira em São Paulo,Veja,neg
17,17,A luta dos sobreviventes do voo da Bahia que ainda estão internados,Veja,neg
18,18,"Morre copiloto de avião particular que caiu em Maraú, na Bahia",Veja,neg
19,19,Heroísmo e dor: os detalhes e consequências da queda do avião na Bahia,Veja,neg
20,20,Corpo de Tuka Rocha será velado por religioso anglicano,Veja,neg
21,21,Rapaz morto em queda de marquise comemorava aniversário de amigo,Veja,neg
22,22,"Bombeiro de Mariana e Brumadinho: ‘Muitas mortes, arrisquei minha vida’",Veja,neg
23,23,"Mil dias após tragédia da Chapecoense, sobrevivente ainda luta por justiça",Veja,neg
24,24,Bombeiros confirmam sétima morte em desabamento em Fortaleza,Veja,neg
25,25,"“Pai, estou vivo”",Veja,neg
26,26,Sobe para 5 o número de mortos em desabamento de edifício em Fortaleza,Veja,neg
27,27,Prédio de sete andares desaba em Fortaleza,Veja,neg
28,28,Brumadinho: Bombeiros encontram corpo oito meses após tragédia,Veja,neg
29,29,Bombeiros encontram corpo de vítima da tragédia de Brumadinho,Veja,neg
30,30,"Vale pagará R$ 11,8 milhões a familiares de vítimas de Brumadinho",Veja,neg
31,31,Queda de avião na Colômbia deixa 7 mortos,Veja,neg
32,32,CPI de Brumadinho pede indiciamento de ex-presidente e diretores da Vale,Veja,neg
33,33,Tumulto em peregrinação xiita no Iraque causa 31 mortes,Veja,neg
34,34,Depois da tragédia: indenizações da Vale movimentam economia de Brumadinho,Veja,neg
35,35,"Ao fazer ‘piada’ com queda de avião, Felipão atinge seu próprio elenco",Veja,neg
36,36,Chapecoense sofre primeira condenação trabalhista por tragédia na Colômbia,Veja,neg
37,37,CPI da Vale no Senado pede o indiciamento de 14 pessoas e duas empresas,Veja,neg
38,38,"Chuvas torrenciais matam 61 pessoas e 6,7 milhões na China",Veja,neg
39,39,Duas meninas brasileiras morrem em deslizamento de rocha no Chile,Veja,neg
40,40,Governo de Moçambique estima 160 mil afetados após novo ciclone,Veja,neg
41,41,A segunda vítima,Veja,neg
42,42,Encontrada a última vítima fatal da tragédia de Muzema,Veja,neg
43,43,Número de mortos no desabamento na Muzema sobe para 22,Veja,neg
44,44,Sobreviventes cariocas vão a Paris para receber solidariedade de Bolsonaro,Veja,neg
45,45,Rio: sobe para quinze o total de mortos em desabamentos na Muzema,Veja,neg
46,46,Corpo é encontrado em escombros de prédios no RJ; total de mortos vai a 10,Veja,neg
47,47,Sobe para cinco número de mortos em desabamento de prédios no Rio,Veja,neg
48,48,Witzel lamenta desabamento que deixou ao menos dois mortos no RJ,Veja,neg
49,49,Número de mortos por ciclone no sudeste africano chega a 946,Veja,neg
50,50,Lucro da Vale cresce 46% e vai a R$ 26 bilhões em 2018,Veja,neg
51,51,Governo brasileiro enviará equipes de resgate e ajuda a Moçambique,Veja,neg
52,52,Professores relataram agressão física ou verbal em escola de Suzano,Veja,neg
53,53,Três vítimas do ataque na escola em Suzano recebem alta de hospitais,Veja,neg
54,54,Veja Saúde: Como o massacre de Suzano impacta a saúde mental,Veja,neg
55,55,"Sob aplausos, coordenadora de colégio é sepultada em Suzano",Veja,neg
56,56,3º suspeito de participar de ataque a escola em Suzano é ouvido pelo MP,Veja,neg
57,57,Os oito rostos da tragédia,Veja,neg
58,58,Brumadinho: MP diz que tragédia poderia ter sido evitada; mortes vão a 200,Veja,neg
59,59,Procon recomenda que Gol suspenda voos com Boeing envolvido em acidente,Veja,neg
60,60,"Membros da ONU, de ONGs e turistas estão entre vítimas de acidente",Veja,neg
61,61,Gol diz que vai continuar usando Boeing envolvido em acidente na Etiópia,Veja,neg
62,62,Caixas-pretas de avião que caiu na Etiópia são recuperadas,Veja,neg
63,63,"Um mês após tragédia, apenas uma família aceitou proposta do Flamengo",Veja,neg
64,64,MP apura se Vale trocou auditor para liberar barragem de Brumadinho,Veja,neg
65,65,Conselho da Vale decide demitir presidente Fabio Schvartsman,Veja,neg
66,66,"Ciclo decadente da mineração vai gerar mais tragédias, indica estudo",Veja,neg
67,67,Tragédia em Brumadinho completa um mês com 131 desaparecidos,Veja,neg
68,68,Exames detectam metais no sangue de 4 bombeiros em Brumadinho,Veja,neg
69,69,Vale informa medidas para conter rejeitos de barragem em Brumadinho,Veja,neg
70,70,Profissionais do resgate em Brumadinho terão saúde monitorada por 20 anos,Veja,neg
71,71,Brumadinho: Grávida hospedada em pousada perto da barragem é identificada,Veja,neg
72,72,Sobe para 169 o número de mortos identificados em Brumadinho,Veja,neg
73,73,Mais dois corpos localizados em Brumadinho,Veja,neg
74,74,"Governo libera empréstimo de R$ 62 mi a Brumadinho, mas prefeito recusa",Veja,neg
75,75,Incêndio no CT do Flamengo: A esperança que se foi,Veja,neg
76,76,Prisões aumentam pressão em área operacional da Vale em MG,Veja,neg
77,77,A esperança que se foi,Veja,neg
78,78,A história está ainda pior,Veja,neg
79,79,"Fracassa nova tentativa de acordo entre Vale, MP e governo de MG",Veja,neg
80,80,"Vale não pode ser condenada ‘por um acidente’, diz presidente da empresa",Veja,neg
81,81,Brumadinho: revisão dos Bombeiros pode reduzir o número de desaparecidos,Veja,neg
82,82,Governo discute não liberar FGTS para vítimas de Brumadinho,Veja,neg
83,83,Buscas em Brumadinho entram em fase ‘mais mecanizada’,Veja,neg
